day,date,hospitalized,icu,ventilated
-17,2020-03-22,,,
-16,2020-03-23,0.3909364822014654,0.1563745928805862,0.0781872964402931
-15,2020-03-24,0.9067130199439615,0.36268520797758463,0.18134260398879232
-14,2020-03-25,1.587140900009213,0.6348563600036851,0.31742818000184253
-13,2020-03-26,2.484686699766832,0.9938746799067327,0.49693733995336636
-12,2020-03-27,3.668465210125759,1.4673860840503035,0.7336930420251517
-11,2020-03-28,5.229469980417885,2.091787992167154,1.045893996083577
-10,2020-03-29,7.287408597738786,2.914963439095514,1.457481719547757
-9,2020-03-30,9.608669857228943,3.999842535772164,1.999921267886082
-8,2020-03-31,12.665841162962515,5.429021673162591,2.7145108365812955
-7,2020-04-01,16.689658849821306,7.1543453070516225,3.6553599499661042
-6,2020-04-02,21.981311328481787,9.423714003321862,4.81501230920943
-5,2020-04-03,28.932556468292326,12.405552311363548,6.338861731694824
-4,2020-04-04,38.05054891129758,16.31813287677945,8.338575598341249
-3,2020-04-05,49.98768466892329,21.44265122261453,10.95808131337905
-2,2020-04-06,65.57607703290682,28.138485356767738,14.381443632442293
-1,2020-04-07,85.86489375350224,36.86001573546797,18.841595591198164
0,2020-04-08,112.15627943695169,48.17338913894071,24.629134117808682
1,2020-04-09,125.99923249160257,54.75707053477788,28.093124836084154
2,2020-04-10,140.05478751517998,61.751603777507015,31.816651002138315
3,2020-04-11,153.90864248769026,69.08906534046284,35.78237232591504
4,2020-04-12,166.97642672904226,76.66019932691451,39.95710439349115
5,2020-04-13,178.45727635668757,84.30117633492375,44.28638761012135
6,2020-04-14,187.28111780640398,91.77738899046027,48.68770937021946
7,2020-04-15,192.05318336951206,98.76423167358278,53.04223385792642
8,2020-04-16,211.03555451111063,104.82533483782125,57.18502033172492
9,2020-04-17,231.25151488534752,109.38969795686533,60.893975228507365
10,2020-04-18,252.635785264213,119.74368644950701,63.8782734913673
11,2020-04-19,275.08495199056233,130.6722651170674,69.77424829328308
12,2020-04-20,298.4526213520992,142.11876788068727,75.96595437750517
13,2020-04-21,322.54547069037284,154.00500657499242,82.41507501075594
14,2020-04-22,347.1207230813575,166.22961036345072,89.07109312838946
15,2020-04-23,371.8856146588486,178.667133578799,95.87068799215709
16,2020-04-24,396.4994160197885,191.16819101697592,102.73763487118424
17,2020-04-25,420.5784938666823,203.56086219173562,109.58333559080134
18,2020-04-26,443.704742811333,215.6535562874616,116.30808595332755
19,2020-04-27,465.4374759089202,227.23944413857012,122.8031465822197
20,2020-04-28,485.32854539644495,238.10244393734553,128.95362703720235
21,2020-04-29,502.9400981517309,248.02460108330342,134.64212236062318
22,2020-04-30,517.863995911475,256.79454366723985,139.75296290403224
23,2020-05-01,529.7416030316887,264.2165429971085,144.1768613394475
24,2020-05-02,538.2824233894676,270.11958568398336,147.8156756524234
25,2020-05-03,543.2800044399928,274.3657916555433,150.5869639095564
26,2020-05-04,544.6236524863912,276.8575075864537,152.42799387554024
27,2020-05-05,542.3048216511513,277.542475473273,153.29889259409623
28,2020-05-06,536.4175190153985,276.4166183258948,153.18467760143628
29,2020-05-07,527.1526484643634,273.52418489440737,152.09599741512096
30,2020-05-08,514.7868141467507,268.9552293951164,150.06851508950862
31,2020-05-09,499.6666344086748,262.8406410828633,147.1609829038122
32,2020-05-10,482.1900038942649,255.34515200057376,143.45216550611443
33,2020-05-11,462.78593677254526,246.6589129396849,139.03686062371162
34,2020-05-12,441.89461371097264,236.98831918166502,134.02133065839723
35,2020-05-13,419.9490599134067,226.54678129670106,128.5184886961191
36,2020-05-14,397.3595494735828,215.54607602337978,122.64317681255926
37,2020-05-15,374.5014260309267,204.18879220132771,116.50783596546364
38,2020-05-16,351.706616402656,192.66222825818022,110.21880238126369
39,2020-05-17,329.25874730290275,181.1339252630346,103.87338527382224
40,2020-05-18,307.3914922558431,169.74885607855208,97.55779624553003
41,2020-05-19,286.28959273569717,158.62815471823785,91.34592232380169
42,2020-05-20,266.09191247648005,147.86917157827486,85.29887041256217
43,2020-05-21,246.89588161475103,137.546583184891,79.46516578100028
44,2020-05-22,228.7627456005166,127.71426647617147,73.88146234337233
45,2020-05-23,211.7231288858775,118.40766002309806,68.57361617575776
46,2020-05-24,195.78253411558762,109.64636849689907,63.557982202223286
47,2020-05-25,180.92650758690752,101.43681255225283,58.842812556726244
48,2020-05-26,167.12530031696724,93.77477592386367,54.42965910666396
49,2020-05-27,154.33793539480166,86.64774883385837,50.314708030941915
50,2020-05-28,142.5156546059793,80.03700793300402,46.48999825102766
51,2020-05-29,131.60476151176545,73.91940609028563,42.94449609858606
52,2020-05-30,121.54890671100384,68.26887006159961,39.66501502266266
53,2020-05-31,112.29087703692585,63.05762107146302,36.63698128665834
54,2020-06-01,103.77395710544715,58.257143840080744,33.8450548577124
55,2020-06-02,95.94293177146665,53.83893498621512,31.273619683781817
56,2020-06-03,88.74479400210703,49.77506339993829,28.907160008245853
57,2020-06-04,82.1292162419727,46.03857430300627,26.730539982040682
58,2020-06-05,76.04883583092578,42.60376626473544,24.7292032013778
59,2020-06-06,70.45939732805027,39.44636715042748,22.88930740931221
60,2020-06-07,65.31978725668114,36.54363136942925,21.197807816798672
61,2020-06-08,60.591990132134924,33.87437720853268,19.64250058178618
62,2020-06-09,56.2409888122902,31.418979696360793,18.21203610403893
63,2020-06-10,52.234627254828865,29.159331459690975,16.895910051826377
64,2020-06-11,48.5434496370367,27.078781449234384,15.684438488358637
65,2020-06-12,45.14052641913031,25.16205923154439,14.568722130910487
66,2020-06-13,42.00127521674676,23.395190740337284,13.54060365224018
67,2020-06-14,39.103282195442716,21.76540991523575,12.59262100749254
68,2020-06-15,36.42612801628911,20.261069483828805,11.717959018858892
69,2020-06-16,33.951221062666264,18.871553218754798,10.910400850962333
70,2020-06-17,31.661639689931235,17.587191282809727,10.164280538476419
71,2020-06-18,29.54198449889691,16.39917972387707,9.474437361711125
72,2020-06-19,27.578241088342565,15.299504764949916,8.836172586120938
73,2020-06-20,25.75765334810376,14.280872224763925,8.245208870895112
74,2020-06-21,24.068607077647357,13.336642178642705,7.697652495614648
75,2020-06-22,22.500523527690802,12.46076880820624,7.189958440571104
76,2020-06-23,21.04376234222582,11.647745277468175,6.718898276057985
77,2020-06-24,19.689533308073806,10.892553399523422,6.281530761002728
78,2020-06-25,18.429816285347442,10.190617812949313,5.875175015522586
79,2020-06-26,17.25728868467013,9.537764362845564,5.497386110521802
80,2020-06-27,16.16525986782335,8.930182372334457,5.14593290647349
81,2020-06-28,15.147611871658683,8.364390491969289,4.818777970167048
82,2020-06-29,14.198745886341385,7.8372058235013355,4.514059400170822
83,2020-06-30,13.313533954771628,7.345716028318066,4.230074397391718
84,2020-07-01,12.487275398234033,6.8872541477405775,3.96526442512004
85,2020-07-02,11.715657512028429,6.459375880870539,3.7182018123901344
86,2020-07-03,10.994720113009862,6.059839084820169,3.4875776646787244
87,2020-07-04,10.32082355770899,5.686585281279349,3.27219095640055
88,2020-07-05,9.69061988457679,5.337722971931498,3.0709386900128948
89,2020-07-06,9.101026766523773,5.011512582981368,2.882807016541392
90,2020-07-07,8.54920399023922,4.706352875749872,2.7068632218747553
91,2020-07-08,8.032532206640553,4.420768675860245,2.5422484921163004
92,2020-07-09,7.548593722374335,4.1533997879114395,2.38817137959677
93,2020-07-10,7.095155125531619,3.902990975739158,2.243901898830586
94,2020-07-11,6.670151559846545,3.6683829004064137,2.1087661887230524
95,2020-07-12,6.271672480752386,3.448503919028326,1.982141683757618
96,2020-07-13,5.897948743867346,3.242362657444801,1.863452742712866
97,2020-07-14,5.547340892008833,3.04904127872328,1.7521666887348601
98,2020-07-15,5.2183285207356676,2.8676893775452754,1.6477902193482805
99,2020-07-16,4.909500614930948,2.6975184377884034,1.549866149278273
100,2020-07-17,4.61954676012374,2.537796797132387,1.457970452807558
