day,date,hospitalized,icu,ventilated
-45,2020-02-17,,,
-44,2020-02-18,0.17551808510238343,0.052655425530715116,0.017551808510238368
-43,2020-02-19,0.36930227342855426,0.11079068202856635,0.03693022734285545
-42,2020-02-20,0.5832524983995573,0.17497574951986722,0.05832524983995577
-41,2020-02-21,0.8194660915027885,0.2458398274508365,0.08194660915027885
-40,2020-02-22,1.0802582428263936,0.32407747284791816,0.10802582428263938
-39,2020-02-23,1.3681845717024321,0.4104553715107296,0.13681845717024319
-38,2020-02-24,1.6860660227398252,0.5058198068219477,0.16860660227398253
-37,2020-02-25,1.8614982388754766,0.6111048971933581,0.20370163239778608
-36,2020-02-26,2.055169993935358,0.6746862546784584,0.2424472267363912
-35,2020-02-27,2.268974599020578,0.7448774471974744,0.2852227097420136
-34,2020-02-28,2.5050012304828453,0.8223644470758229,0.314894923688325
-33,2020-02-29,2.765555046654903,0.9079041593935528,0.34765110160527424
-32,2020-03-01,3.053179338724364,1.002331700280121,0.38381114120272386
-31,2020-03-02,3.3706799143871047,1.1065684096273494,0.4237279845624141
-30,2020-03-03,3.7211519307416623,1.221630669593909,0.4677910011893128
-29,2020-03-04,4.108009411950443,1.3486396066009483,0.5164297107611923
-28,2020-03-05,4.535017707494051,1.4888317612650819,0.570117878217436
-27,2020-03-06,5.006329168350222,1.643570817874716,0.6293780166357995
-26,2020-03-07,5.5265223410710735,1.8143604925700205,0.6947863363188458
-25,2020-03-08,6.100645003395329,2.0028586873022483,0.7669781816401989
-24,2020-03-09,6.734261389540178,2.2108930248720933,0.8466540004681475
-23,2020-03-10,7.433503978416424,2.4404778888027048,0.934585894365465
-22,2020-03-11,8.205130243351402,2.6938331003838702,1.0316248012238962
-21,2020-03-12,9.056584787015879,2.973404373784713,1.1387083654803138
-20,2020-03-13,9.996067309514897,3.2818856984809712,1.2568695545131232
-19,2020-03-14,11.032606880214043,3.6222438061291666,1.3872460831452056
-18,2020-03-15,12.176143003803505,3.997744886121978,1.531090711271144
-17,2020-03-16,13.437613987046953,4.411983719967581,1.689782482337821
-16,2020-03-17,14.829053122983105,4.868915408835582,1.8648389725566679
-15,2020-03-18,16.363693212001273,5.372889870459324,2.05792962208449
-14,2020-03-19,18.056079931670457,5.9286892802804285,2.2708902196933414
-13,2020-03-20,19.922194546357243,6.541568626283378,2.505738611307205
-12,2020-03-21,21.979586409720707,7.2172995361909065,2.7646916997821354
-11,2020-03-22,24.247515653512323,7.96221751811146,3.050183797920787
-10,2020-03-23,26.74710636916355,8.78327272957559,3.3648863883026845
-9,2020-03-24,29.50151046773089,9.68808435304076,3.7117293313083515
-8,2020-03-25,32.53608224091805,10.684998605839809,4.093923545795945
-7,2020-03-26,35.878563431670145,11.783150346181092,4.514985164155659
-6,2020-03-27,39.559278346135265,12.992528150622816,4.978761133622419
-5,2020-03-28,43.611338186678985,14.324042628287433,5.489456197249909
-4,2020-03-29,48.070853343155896,15.789597598142015,6.051661139069333
-3,2020-03-30,52.977151829697924,17.40216358243127,6.670382116636752
-2,2020-03-31,58.37300137755963,19.175852855559587,7.351070828092245
-1,2020-04-01,64.30483186958848,21.125995026397092,8.099655167403562
0,2020-04-02,70.82295380521268,23.26921181546948,8.922569907760575
1,2020-04-03,72.14629640213283,23.872848041761625,9.243239727062615
2,2020-04-04,72.9869670735572,24.35234924651401,9.534544680513822
3,2020-04-05,73.27702086312267,24.689302401075125,9.791506882214584
4,2020-04-06,72.94151766283515,24.86336287833506,10.008606048306744
5,2020-04-07,71.89793088259995,24.852086571430196,10.179730097684338
6,2020-04-08,70.05552579746632,24.6307523523691,10.298122412834598
7,2020-04-09,67.31471057122661,24.17217542596091,10.35632578191344
8,2020-04-10,69.4018352610511,23.446512478513164,10.34612311541176
9,2020-04-11,71.54413628911604,24.171701212608973,10.258475122466578
10,2020-04-12,73.74243744893533,24.915943513688568,10.083455246586844
11,2020-04-13,75.99752983108655,25.679515568724206,10.393729391202111
12,2020-04-14,78.3101679327809,26.462681652413913,10.712050183606713
13,2020-04-15,80.68106557568038,27.265692760293234,11.038526884090373
14,2020-04-16,83.11089163160483,28.088785176202464,11.373263178790406
15,2020-04-17,85.60026555676453,28.93217897417452,11.716356582828219
16,2020-04-18,88.14975273625015,29.79607645516866,12.067897816344964
17,2020-04-19,90.75985964172355,30.68066051947082,12.42797015363655
18,2020-04-20,93.43102880657656,31.586092976016573,12.79664874575466
19,2020-04-21,96.16363362426716,32.51251279036812,13.173999917121822
20,2020-04-22,98.95797297710766,33.46003427359125,13.560080436907608
21,2020-04-23,101.81426570445933,34.42874521483613,13.954936766127684
22,2020-04-24,104.73264492109746,35.41870496102233,14.358604281659883
23,2020-04-25,107.71315219843137,36.429942447668765,14.77110647862007
24,2020-04-26,110.75573162330687,37.46245418558783,15.192454152806754
25,2020-04-27,113.86022375127237,38.516202208881225,15.622644565205455
26,2020-04-28,117.02635947345107,39.591111990430434,16.06166059084191
27,2020-04-29,120.25375381851205,40.6870703318647,16.509469854586456
28,2020-04-30,123.54189971368822,41.803923235810316,16.966023856838852
29,2020-05-01,126.89016173129465,42.941473769072886,17.43125709236262
30,2020-05-02,130.29776984978952,44.099479926276345,17.90508616588825
31,2020-05-03,133.76381326102745,45.27765250436663,18.38740890846357
32,2020-05-04,137.28723425799996,46.47565299928914,18.878103498895683
33,2020-05-05,140.86682223998014,47.69309153704279,19.377027594996783
34,2020-05-06,144.50120787460827,48.92952485221187,19.88401747971659
35,2020-05-07,148.18885745897273,50.184454327948515,20.398887227608896
36,2020-05-08,151.92806752421347,51.45732411223048,20.921427897438875
37,2020-05-09,155.71695973047258,52.74751932602973,21.4514067570843
38,2020-05-10,159.55347610119122,54.05436437978713,21.988566547213864
39,2020-05-11,163.43537464768417,55.377121415286155,22.532624790534648
40,2020-05-12,167.36022543662432,56.71498889063011,23.083273153680274
41,2020-05-13,171.32540715446987,58.06710032655877,23.640176869060852
42,2020-05-14,175.32810422394175,59.432523232748565,24.20297422420306
43,2020-05-15,179.3653045283089,60.810258233031334,24.771276126271736
44,2020-05-16,183.4337977995134,62.19923840861972,25.344665749574816
45,2020-05-17,187.53017472589545,63.598328878414094,25.92269827390612
46,2020-05-18,191.65082683453568,65.00632663528953,26.50490072156687
47,2020-05-19,195.7919472018973,66.42196065689404,27.090771900822745
48,2020-05-20,199.94953204449757,67.84389230892074,27.67978246339146
49,2020-05-21,204.11938323875825,69.2707160580351,28.271375083310488
50,2020-05-22,208.29711181593336,70.70096051062887,28.864964764202654
51,2020-05-23,212.47814247403278,72.13308979233688,29.459939281531092
52,2020-05-24,216.65771914399556,73.5655052817587,30.055659765911543
53,2020-05-25,220.8309116419697,74.99654771011177,30.65146143293296
54,2020-05-26,224.99262343340718,76.42449963655548,31.246654464212128
55,2020-05-27,229.13760052786495,77.84758830671103,31.84052504358843
56,2020-05-28,233.2604415158553,79.26398889944238,32.43233655144242
57,2020-05-29,237.3556087509087,80.6718281642739,33.02133091910376
58,2020-05-30,241.4174406712052,82.06918844891834,33.606730144201876
59,2020-05-31,245.44016524579342,83.4541121132869,34.18773796661503
60,2020-06-01,249.41791452057237,84.82460632308482,34.76354170339687
61,2020-06-02,253.34474022901304,86.17864821266846,35.333314239710134
62,2020-06-03,257.21463042207574,87.5141904033116,35.896216171396404
63,2020-06-04,261.021527061087,88.82916685940899,36.45139809335413
64,2020-06-05,264.7593445065961,90.12149906149625,36.998003026422666
65,2020-06-06,268.4219888255341,91.3891024713061,37.53516897396878
66,2020-06-07,272.00337782854854,92.62989326048995,38.062031597884385
67,2020-06-08,275.4974617392545,93.84179527112303,38.577727002231455
68,2020-06-09,278.8982443875366,95.0227471727577,39.081394611343285
69,2020-06-10,282.1998048100777,96.17070977763098,39.57218012782485
70,2020-06-11,285.396319133157,97.28367347273343,40.0492385546126
71,2020-06-12,288.48208260553156,98.35966572482965,40.511737264074554
72,2020-06-13,291.45153164314024,99.39675861226925,40.95885909607523
73,2020-06-14,294.29926574245656,100.3930763355666,41.38980546602133
74,2020-06-15,297.0200691157668,101.34680265728866,41.80379946314852
75,2020-06-16,299.60893189954186,102.25618822084408,42.20008891874406
76,2020-06-17,302.0610707864678,103.11955769731037,42.57794942361676
77,2020-06-18,304.3719489326477,103.93531670950449,42.936687273951975
78,2020-06-19,306.53729499416545,104.70195848313222,43.27564232473745
79,2020-06-20,308.5531211513173,105.41807017600502,43.594190730199216
80,2020-06-21,310.4157399847959,106.08233883806338,43.891747551185205
81,2020-06-22,312.1217800754375,106.69355695718286,44.167769210139085
82,2020-06-23,313.6682002082034,107.25062754857481,44.421755775250375
83,2020-06-24,315.05230207136765,107.75256874885804,44.65325305650791
84,2020-06-25,316.2717413537125,108.19851787967787,44.86185449774649
85,2020-06-26,317.32453715528436,108.58773494992317,45.04720285031166
86,2020-06-27,318.2090796413636,108.91960557016444,45.208991615688774
87,2020-06-28,318.92413588391037,109.19364325784113,45.34696624631144
88,2020-06-29,319.468853850321,109.40949111684063,45.4609250957547
89,2020-06-30,319.8427645151287,109.56692288048225,45.550720111631506
90,2020-07-01,320.04578208648945,109.6658433123439,45.61625726667722
91,2020-07-02,320.07820235543204,109.70628796489723,45.65749672574603
