day,date,hospitalized,icu,ventilated
-17,8/15/21,NA,NA,NA
-16,8/16/21,0.390936482,0.156374593,0.078187296
-15,8/17/21,0.90671302,0.362685208,0.181342604
-14,8/18/21,1.5871409,0.63485636,0.31742818
-13,8/19/21,2.4846867,0.99387468,0.49693734
-12,8/20/21,3.66846521,1.467386084,0.733693042
-11,8/21/21,5.22946998,2.091787992,1.045893996
-10,8/22/21,7.287408598,2.914963439,1.45748172
-9,8/23/21,9.608669857,3.999842536,1.999921268
-8,8/24/21,12.66584116,5.429021673,2.714510837
-7,8/25/21,16.68965885,7.154345307,3.65535995
-6,8/26/21,21.98131133,9.423714003,4.815012309
-5,8/27/21,28.93255647,12.40555231,6.338861732
-4,8/28/21,38.05054891,16.31813288,8.338575598
-3,8/29/21,49.98768467,21.44265122,10.95808131
-2,8/30/21,65.57607703,28.13848536,14.38144363
-1,8/31/21,85.86489375,36.86001574,18.84159559
0,9/1/21,112.1562794,48.17338914,24.62913412
1,9/2/21,125.9992325,54.75707053,28.09312484
2,9/3/21,140.0547875,61.75160378,31.816651
3,9/4/21,153.9086425,69.08906534,35.78237233
4,9/5/21,166.9764267,76.66019933,39.95710439
5,9/6/21,178.4572764,84.30117633,44.28638761
6,9/7/21,187.2811178,91.77738899,48.68770937
7,9/8/21,192.0531834,98.76423167,53.04223386
8,9/9/21,211.0355545,104.8253348,57.18502033
9,9/10/21,231.2515149,109.389698,60.89397523
10,9/11/21,252.6357853,119.7436864,63.87827349
11,9/12/21,275.084952,130.6722651,69.77424829
12,9/13/21,298.4526214,142.1187679,75.96595438
13,9/14/21,322.5454707,154.0050066,82.41507501
14,9/15/21,347.1207231,166.2296104,89.07109313
15,9/16/21,371.8856147,178.6671336,95.87068799
16,9/17/21,396.499416,191.168191,102.7376349
17,9/18/21,420.5784939,203.5608622,109.5833356
18,9/19/21,443.7047428,215.6535563,116.308086
19,9/20/21,465.4374759,227.2394441,122.8031466
20,9/21/21,485.3285454,238.1024439,128.953627
21,9/22/21,502.9400982,248.0246011,134.6421224
22,9/23/21,517.8639959,256.7945437,139.7529629
23,9/24/21,529.741603,264.216543,144.1768613
24,9/25/21,538.2824234,270.1195857,147.8156757
25,9/26/21,543.2800044,274.3657917,150.5869639
26,9/27/21,544.6236525,276.8575076,152.4279939
27,9/28/21,542.3048217,277.5424755,153.2988926
28,9/29/21,536.417519,276.4166183,153.1846776
29,9/30/21,527.1526485,273.5241849,152.0959974
30,10/1/21,514.7868141,268.9552294,150.0685151
31,10/2/21,499.6666344,262.8406411,147.1609829
32,10/3/21,482.1900039,255.345152,143.4521655
33,10/4/21,462.7859368,246.6589129,139.0368606
34,10/5/21,441.8946137,236.9883192,134.0213307
35,10/6/21,419.9490599,226.5467813,128.5184887
36,10/7/21,397.3595495,215.546076,122.6431768
37,10/8/21,374.501426,204.1887922,116.507836
38,10/9/21,351.7066164,192.6622283,110.2188024
39,10/10/21,329.2587473,181.1339253,103.8733853
40,10/11/21,307.3914923,169.7488561,97.55779625
41,10/12/21,286.2895927,158.6281547,91.34592232
42,10/13/21,266.0919125,147.8691716,85.29887041
43,10/14/21,246.8958816,137.5465832,79.46516578
44,10/15/21,228.7627456,127.7142665,73.88146234
45,10/16/21,211.7231289,118.40766,68.57361618
46,10/17/21,195.7825341,109.6463685,63.5579822
47,10/18/21,180.9265076,101.4368126,58.84281256
48,10/19/21,167.1253003,93.77477592,54.42965911
49,10/20/21,154.3379354,86.64774883,50.31470803
50,10/21/21,142.5156546,80.03700793,46.48999825
51,10/22/21,131.6047615,73.91940609,42.9444961
52,10/23/21,121.5489067,68.26887006,39.66501502
53,10/24/21,112.290877,63.05762107,36.63698129
54,10/25/21,103.7739571,58.25714384,33.84505486
55,10/26/21,95.94293177,53.83893499,31.27361968
56,10/27/21,88.744794,49.7750634,28.90716001
